delta_t,ir_v_d,re_v_d,ta,tb1,tb2,tc,va,vb1,vb2,vc,bat_id
415,0.57554,0.14045,2013/11/20 23:31,2013/11/20 23:37,2013/11/20 23:38,2013/11/20 23:44,3.72103,3.00504,3.14549,3.21434,cell_v_drop_MGL35_NCM_cell_2013_1
415,0.57618,0.14514,2013/11/20 23:57,2013/11/21 0:03,2013/11/21 0:04,2013/11/21 0:10,3.72119,2.99987,3.14501,3.2137,cell_v_drop_MGL35_NCM_cell_2013_1
415,0.57602,0.1453,2013/11/21 0:24,2013/11/21 0:30,2013/11/21 0:30,2013/11/21 0:37,3.72119,2.99987,3.14517,3.21402,cell_v_drop_MGL35_NCM_cell_2013_1
411,0.57618,0.1453,2013/11/21 0:50,2013/11/21 0:56,2013/11/21 0:56,2013/11/21 1:03,3.72135,2.99987,3.14517,3.21386,cell_v_drop_MGL35_NCM_cell_2013_1
411,0.57618,0.14514,2013/11/21 1:16,2013/11/21 1:22,2013/11/21 1:22,2013/11/21 1:29,3.72119,2.99987,3.14501,3.2137,cell_v_drop_MGL35_NCM_cell_2013_1
415,0.57553,0.14078,2013/11/21 1:42,2013/11/21 1:48,2013/11/21 1:48,2013/11/21 1:55,3.72119,3.00488,3.14566,3.21451,cell_v_drop_MGL35_NCM_cell_2013_1
415,0.57683,0.14432,2013/11/21 2:08,2013/11/21 2:14,2013/11/21 2:14,2013/11/21 2:21,3.72135,3.0002,3.14452,3.21305,cell_v_drop_MGL35_NCM_cell_2013_1
415,0.57618,0.14514,2013/11/21 2:34,2013/11/21 2:40,2013/11/21 2:40,2013/11/21 2:47,3.72119,2.99987,3.14501,3.2137,cell_v_drop_MGL35_NCM_cell_2013_1
411,0.57667,0.14465,2013/11/21 3:00,2013/11/21 3:06,2013/11/21 3:06,2013/11/21 3:13,3.72119,2.99987,3.14452,3.21305,cell_v_drop_MGL35_NCM_cell_2013_1
415,0.57634,0.14465,2013/11/21 3:26,2013/11/21 3:32,2013/11/21 3:32,2013/11/21 3:39,3.72135,3.00036,3.14501,3.2137,cell_v_drop_MGL35_NCM_cell_2013_1
415,0.5757,0.14562,2013/11/21 3:52,2013/11/21 3:58,2013/11/21 3:58,2013/11/21 4:05,3.72119,2.99987,3.14549,3.21418,cell_v_drop_MGL35_NCM_cell_2013_1
415,0.57764,0.14417,2013/11/21 4:18,2013/11/21 4:24,2013/11/21 4:24,2013/11/21 4:31,3.72168,2.99987,3.14404,3.21273,cell_v_drop_MGL35_NCM_cell_2013_1
415,0.57618,0.13964,2013/11/21 4:44,2013/11/21 4:50,2013/11/21 4:50,2013/11/21 4:57,3.72119,3.00537,3.14501,3.2137,cell_v_drop_MGL35_NCM_cell_2013_1
415,0.57666,0.14466,2013/11/21 5:10,2013/11/21 5:16,2013/11/21 5:17,2013/11/21 5:23,3.72135,3.00003,3.14469,3.21321,cell_v_drop_MGL35_NCM_cell_2013_1
415,0.57634,0.14498,2013/11/21 5:37,2013/11/21 5:43,2013/11/21 5:43,2013/11/21 5:50,3.72119,2.99987,3.14485,3.21354,cell_v_drop_MGL35_NCM_cell_2013_1
411,0.5757,0.14562,2013/11/21 6:03,2013/11/21 6:09,2013/11/21 6:09,2013/11/21 6:16,3.72119,2.99987,3.14549,3.21434,cell_v_drop_MGL35_NCM_cell_2013_1
411,0.57683,0.14352,2013/11/21 6:29,2013/11/21 6:35,2013/11/21 6:35,2013/11/21 6:42,3.72135,3.001,3.14452,3.21289,cell_v_drop_MGL35_NCM_cell_2013_1
415,0.57618,0.1398,2013/11/21 6:55,2013/11/21 7:01,2013/11/21 7:01,2013/11/21 7:08,3.72119,3.00521,3.14501,3.21386,cell_v_drop_MGL35_NCM_cell_2013_1
411,0.57667,0.14514,2013/11/21 7:21,2013/11/21 7:27,2013/11/21 7:27,2013/11/21 7:34,3.72168,2.99987,3.14501,3.21354,cell_v_drop_MGL35_NCM_cell_2013_1
415,0.57877,0.14271,2013/11/21 7:47,2013/11/21 7:53,2013/11/21 7:53,2013/11/21 8:00,3.72135,2.99987,3.14258,3.21144,cell_v_drop_MGL35_NCM_cell_2013_1
415,0.57554,0.14368,2013/11/21 8:13,2013/11/21 8:19,2013/11/21 8:19,2013/11/21 8:26,3.72103,3.00181,3.14549,3.21451,cell_v_drop_MGL35_NCM_cell_2013_1
410,0.57764,0.14401,2013/11/21 8:39,2013/11/21 8:45,2013/11/21 8:45,2013/11/21 8:52,3.72152,2.99987,3.14388,3.21257,cell_v_drop_MGL35_NCM_cell_2013_1
415,0.57602,0.14546,2013/11/21 9:05,2013/11/21 9:11,2013/11/21 9:11,2013/11/21 9:18,3.72135,2.99987,3.14533,3.21418,cell_v_drop_MGL35_NCM_cell_2013_1
415,0.57764,0.1377,2013/11/21 9:31,2013/11/21 9:37,2013/11/21 9:37,2013/11/21 9:44,3.72152,3.00618,3.14388,3.21273,cell_v_drop_MGL35_NCM_cell_2013_1
415,0.57603,0.14562,2013/11/21 9:57,2013/11/21 10:03,2013/11/21 10:03,2013/11/21 10:10,3.72152,2.99987,3.14549,3.21402,cell_v_drop_MGL35_NCM_cell_2013_1
415,0.57619,0.14546,2013/11/21 10:23,2013/11/21 10:29,2013/11/21 10:30,2013/11/21 10:36,3.72152,2.99987,3.14533,3.21418,cell_v_drop_MGL35_NCM_cell_2013_1
416,0.57667,0.14498,2013/11/21 10:50,2013/11/21 10:56,2013/11/21 10:56,2013/11/21 11:03,3.72152,2.99987,3.14485,3.21354,cell_v_drop_MGL35_NCM_cell_2013_1
411,0.57667,0.14078,2013/11/21 11:16,2013/11/21 11:22,2013/11/21 11:22,2013/11/21 11:29,3.72152,3.00407,3.14485,3.21354,cell_v_drop_MGL35_NCM_cell_2013_1
411,0.57667,0.14498,2013/11/21 11:42,2013/11/21 11:48,2013/11/21 11:48,2013/11/21 11:55,3.72152,2.99987,3.14485,3.21354,cell_v_drop_MGL35_NCM_cell_2013_1
411,0.57894,0.14271,2013/11/21 12:08,2013/11/21 12:14,2013/11/21 12:14,2013/11/21 12:21,3.72152,2.99987,3.14258,3.21144,cell_v_drop_MGL35_NCM_cell_2013_1
411,0.57553,0.14385,2013/11/21 12:34,2013/11/21 12:40,2013/11/21 12:40,2013/11/21 12:47,3.72119,3.00181,3.14566,3.21467,cell_v_drop_MGL35_NCM_cell_2013_1
411,0.5778,0.14401,2013/11/21 13:00,2013/11/21 13:06,2013/11/21 13:06,2013/11/21 13:13,3.72168,2.99987,3.14388,3.21241,cell_v_drop_MGL35_NCM_cell_2013_1
415,0.57731,0.14417,2013/11/21 13:26,2013/11/21 13:32,2013/11/21 13:32,2013/11/21 13:39,3.72135,2.99987,3.14404,3.21321,cell_v_drop_MGL35_NCM_cell_2013_1
415,0.57764,0.14401,2013/11/21 13:52,2013/11/21 13:58,2013/11/21 13:58,2013/11/21 14:05,3.72152,2.99987,3.14388,3.21257,cell_v_drop_MGL35_NCM_cell_2013_1
415,0.57667,0.14158,2013/11/21 14:18,2013/11/21 14:24,2013/11/21 14:24,2013/11/21 14:31,3.72152,3.00327,3.14485,3.21354,cell_v_drop_MGL35_NCM_cell_2013_1
411,0.57699,0.139,2013/11/21 14:44,2013/11/21 14:50,2013/11/21 14:50,2013/11/21 14:57,3.72168,3.00569,3.14469,3.21354,cell_v_drop_MGL35_NCM_cell_2013_1
